iter	Passed	Remaining
0	1	151
1	2	142
2	3	125
3	4	116
4	5	112
5	7	111
6	8	109
7	9	108
8	10	107
9	11	106
10	12	103
11	13	100
12	14	98
13	15	96
14	16	94
15	17	92
16	18	90
17	19	88
18	20	87
19	21	85
20	22	83
21	23	82
22	24	81
23	25	79
24	26	78
25	26	76
26	27	75
27	28	74
28	29	73
29	30	71
30	31	70
31	32	69
32	33	68
33	34	67
34	35	66
35	36	64
36	37	63
37	38	62
38	39	61
39	40	60
40	41	59
41	42	58
42	43	57
43	43	55
44	44	54
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	50	48
51	51	47
52	52	46
53	53	45
54	54	44
55	55	43
56	56	42
57	57	41
58	58	40
59	59	39
60	59	38
61	60	37
62	61	36
63	62	35
64	63	34
65	64	33
66	65	32
67	66	31
68	67	30
69	68	29
70	69	28
71	70	27
72	71	26
73	72	25
74	73	24
75	73	23
76	74	22
77	75	21
78	76	20
79	77	19
80	78	18
81	79	17
82	80	16
83	81	15
84	82	14
85	83	13
86	84	12
87	85	11
88	86	10
89	87	9
90	87	8
91	88	7
92	90	6
93	91	5
94	92	4
95	93	3
96	94	2
97	95	1
98	96	0
99	97	0
