iter	Passed	Remaining
0	146	146658
1	148	73908
2	149	49776
3	150	37578
4	154	30819
5	156	25970
6	158	22479
7	159	19792
8	160	17713
9	162	16041
10	163	14680
11	164	13535
12	165	12565
13	168	11862
14	172	11303
15	174	10717
16	175	10144
17	176	9636
18	178	9196
19	179	8782
20	181	8473
21	186	8291
22	187	7978
23	188	7682
24	190	7410
25	191	7158
26	192	6924
27	193	6710
28	196	6593
29	198	6418
30	199	6238
31	200	6070
32	201	5912
33	202	5765
34	204	5625
35	205	5493
36	206	5368
37	207	5251
38	208	5147
39	210	5057
40	211	4958
41	213	4867
42	214	4776
43	215	4688
44	216	4603
45	218	4521
46	219	4448
47	228	4522
48	230	4464
49	231	4401
50	232	4335
51	234	4269
52	238	4252
53	241	4226
54	243	4189
55	246	4154
56	248	4111
57	249	4056
58	256	4092
59	259	4063
60	260	4009
61	261	3957
62	262	3907
63	263	3860
64	265	3812
65	269	3811
66	272	3798
67	274	3762
68	275	3723
69	278	3693
70	279	3655
71	283	3654
72	287	3652
73	288	3614
74	290	3577
75	291	3540
76	292	3505
77	293	3471
78	294	3438
79	300	3450
80	301	3416
81	302	3384
82	302	3346
83	304	3315
84	305	3284
85	306	3256
86	307	3227
87	308	3199
88	309	3172
89	315	3185
90	317	3175
91	319	3149
92	320	3123
93	321	3098
94	322	3074
95	323	3050
96	325	3026
97	330	3042
98	331	3018
99	332	2996
100	334	2973
101	335	2950
102	336	2929
103	337	2907
104	338	2885
105	339	2865
106	343	2867
107	344	2847
108	345	2827
109	347	2808
110	348	2789
111	349	2769
112	350	2752
113	351	2735
114	353	2716
115	354	2698
116	355	2679
117	358	2678
118	362	2685
119	364	2673
120	366	2659
121	367	2641
122	368	2629
123	370	2617
124	374	2622
125	377	2619
126	379	2609
127	380	2593
128	381	2578
129	382	2562
130	383	2547
131	385	2532
132	388	2530
133	390	2523
134	391	2509
135	392	2495
136	393	2480
137	394	2466
138	395	2452
139	397	2438
140	398	2426
141	399	2411
142	400	2397
143	405	2410
144	407	2404
145	408	2392
146	410	2379
147	411	2368
148	412	2357
149	414	2347
150	415	2336
151	421	2350
152	422	2339
153	423	2327
154	425	2317
155	426	2306
156	427	2295
157	428	2284
158	429	2273
159	433	2277
160	434	2265
161	435	2255
162	437	2244
163	438	2233
164	439	2222
165	440	2212
166	441	2201
167	442	2191
168	443	2180
169	444	2171
170	447	2171
171	451	2175
172	453	2167
173	454	2159
174	456	2149
175	457	2140
176	458	2133
177	459	2123
178	464	2129
179	467	2131
180	469	2122
181	470	2113
182	471	2104
183	472	2094
184	473	2085
185	474	2076
186	478	2080
187	480	2075
188	481	2066
189	482	2057
190	483	2048
191	484	2040
192	485	2031
193	486	2023
194	488	2014
195	489	2006
196	491	2004
197	494	2004
198	497	2001
199	498	1993
200	499	1986
201	501	1979
202	502	1971
203	503	1963
204	504	1956
205	514	1983
206	515	1976
207	517	1970
208	518	1963
209	526	1980
210	528	1974
211	531	1974
212	533	1971
213	542	1992
214	545	1991
215	547	1985
216	549	1981
217	550	1974
218	555	1982
219	560	1985
220	561	1980
221	563	1974
222	564	1968
223	571	1980
224	573	1974
225	576	1975
226	578	1970
227	580	1964
228	581	1958
229	584	1957
230	588	1960
231	590	1954
232	591	1948
233	593	1942
234	594	1936
235	596	1930
236	598	1926
237	601	1926
238	603	1922
239	606	1921
240	608	1916
241	610	1911
242	611	1904
243	619	1920
244	621	1915
245	622	1908
246	623	1901
247	624	1895
248	626	1888
249	627	1881
250	631	1885
251	635	1885
252	638	1884
253	639	1879
254	641	1873
255	642	1867
256	647	1870
257	650	1871
258	652	1867
259	655	1864
260	656	1858
261	657	1852
262	665	1864
263	666	1858
264	668	1852
265	670	1849
266	672	1845
267	673	1839
268	680	1848
269	682	1845
270	683	1839
271	685	1833
272	687	1829
273	688	1823
274	692	1826
275	695	1825
276	697	1820
277	698	1814
278	699	1808
279	701	1803
280	703	1799
281	709	1805
282	710	1800
283	712	1795
284	713	1789
285	714	1784
286	717	1781
287	720	1780
288	725	1784
289	726	1778
290	728	1773
291	729	1768
292	730	1763
293	732	1758
294	738	1765
295	740	1760
296	741	1755
297	743	1750
298	744	1745
299	745	1739
300	747	1735
301	750	1734
302	751	1728
303	752	1723
304	753	1717
305	754	1712
306	756	1706
307	757	1701
308	758	1696
309	759	1691
310	762	1690
311	767	1692
312	768	1687
313	770	1682
314	771	1676
315	772	1671
316	773	1667
317	775	1662
318	776	1657
319	780	1658
320	781	1653
321	782	1648
322	784	1643
323	786	1640
324	788	1637
325	789	1632
326	790	1627
327	794	1627
328	796	1623
329	797	1619
330	798	1614
331	799	1609
332	800	1604
333	802	1599
334	803	1594
335	804	1590
336	805	1585
337	810	1588
338	812	1584
339	813	1580
340	815	1575
341	816	1571
342	817	1566
343	819	1562
344	821	1559
345	824	1559
346	826	1555
347	828	1551
348	829	1547
349	831	1543
350	832	1539
351	833	1534
352	837	1534
353	838	1530
354	839	1525
355	840	1521
356	842	1517
357	843	1512
358	844	1508
359	845	1503
360	846	1499
361	848	1494
362	849	1490
363	853	1491
364	856	1489
365	857	1485
366	858	1481
367	859	1476
368	861	1472
369	862	1468
370	863	1463
371	868	1466
372	870	1463
373	871	1459
374	873	1455
375	874	1451
376	875	1447
377	877	1443
378	878	1438
379	879	1434
380	882	1434
381	883	1430
382	885	1425
383	886	1421
384	887	1418
385	888	1414
386	890	1409
387	891	1405
388	892	1401
389	893	1397
390	896	1396
391	901	1398
392	903	1395
393	905	1392
394	906	1388
395	907	1384
396	908	1380
397	913	1382
398	915	1379
399	917	1375
400	919	1372
401	920	1369
402	921	1365
403	923	1361
404	924	1358
405	926	1356
406	929	1354
407	931	1352
408	933	1349
409	935	1345
410	936	1342
411	951	1357
412	952	1354
413	955	1351
414	960	1353
415	963	1352
416	964	1349
417	966	1345
418	967	1341
419	968	1337
420	973	1338
421	974	1334
422	975	1331
423	977	1327
424	979	1324
425	981	1321
426	988	1326
427	990	1323
428	992	1320
429	994	1317
430	995	1314
431	1000	1314
432	1002	1312
433	1003	1308
434	1004	1304
435	1005	1300
436	1006	1297
437	1007	1293
438	1009	1289
439	1010	1286
440	1011	1282
441	1014	1280
442	1016	1278
443	1018	1275
444	1019	1271
445	1021	1268
446	1023	1265
447	1024	1262
448	1029	1263
449	1032	1262
450	1034	1259
451	1036	1256
452	1038	1254
453	1054	1268
454	1082	1296
455	1084	1293
456	1086	1290
457	1093	1294
458	1149	1354
459	1151	1351
460	1152	1348
461	1156	1347
462	1161	1347
463	1163	1343
464	1165	1340
465	1167	1337
466	1169	1334
467	1177	1338
468	1178	1334
469	1180	1331
470	1181	1327
471	1211	1355
472	1213	1351
473	1215	1348
474	1216	1344
475	1218	1341
476	1223	1341
477	1225	1338
478	1227	1334
479	1228	1331
480	1230	1328
481	1239	1331
482	1242	1329
483	1246	1328
484	1247	1324
485	1250	1322
486	1251	1318
487	1253	1314
488	1254	1311
489	1256	1307
490	1260	1306
491	1262	1303
492	1264	1300
493	1266	1296
494	1267	1293
495	1269	1289
496	1270	1286
497	1274	1284
498	1278	1283
499	1283	1283
500	1285	1280
501	1296	1286
502	1298	1282
503	1300	1279
504	1302	1276
505	1308	1277
506	1310	1273
507	1312	1270
508	1314	1267
509	1316	1264
510	1317	1261
511	1328	1266
512	1331	1264
513	1333	1260
514	1335	1257
515	1341	1257
516	1342	1254
517	1344	1251
518	1346	1247
519	1352	1248
520	1355	1246
521	1361	1246
522	1364	1244
523	1369	1243
524	1371	1240
525	1372	1237
526	1374	1233
527	1377	1231
528	1385	1233
529	1387	1230
530	1390	1227
531	1392	1224
532	1393	1221
533	1399	1221
534	1401	1218
535	1403	1214
536	1414	1219
537	1416	1216
538	1417	1212
539	1420	1209
540	1422	1206
541	1424	1203
542	1427	1201
543	1433	1201
544	1434	1197
545	1438	1195
546	1454	1204
547	1481	1222
548	1483	1218
549	1485	1215
550	1486	1211
551	1489	1208
552	1493	1207
553	1496	1204
554	1498	1201
555	1499	1197
556	1501	1193
557	1502	1190
558	1504	1186
559	1511	1187
560	1513	1184
561	1514	1180
562	1532	1189
563	1534	1186
564	1535	1182
565	1540	1181
566	1543	1178
567	1544	1174
568	1546	1171
569	1547	1167
570	1549	1164
571	1551	1161
572	1555	1159
573	1557	1155
574	1558	1152
575	1560	1148
576	1562	1145
577	1567	1144
578	1579	1148
579	1581	1145
580	1583	1141
581	1589	1141
582	1591	1138
583	1594	1135
584	1597	1133
585	1598	1129
586	1603	1128
587	1605	1124
588	1606	1121
589	1607	1117
590	1609	1113
591	1611	1110
592	1613	1107
593	1618	1106
594	1620	1103
595	1622	1099
596	1624	1096
597	1631	1097
598	1633	1093
599	1635	1090
600	1637	1086
601	1638	1083
602	1640	1079
603	1645	1078
604	1648	1076
605	1649	1072
606	1651	1069
607	1652	1065
608	1654	1062
609	1656	1058
610	1667	1061
611	1669	1058
612	1671	1055
613	1679	1055
614	1681	1052
615	1688	1052
616	1692	1050
617	1696	1048
618	1698	1045
619	1699	1041
620	1701	1038
621	1703	1035
622	1719	1040
623	1725	1039
624	1729	1037
625	1731	1034
626	1733	1031
627	1735	1028
628	1741	1027
629	1743	1023
630	1745	1020
631	1746	1017
632	1748	1013
633	1752	1011
634	1754	1008
635	1759	1006
636	1763	1005
637	1765	1001
638	1766	998
639	1768	994
640	1770	991
641	1776	990
642	1779	987
643	1780	984
644	1782	980
645	1783	977
646	1793	978
647	1795	975
648	1796	971
649	1798	968
650	1800	965
651	1805	963
652	1810	961
653	1811	958
654	1813	955
655	1815	952
656	1819	949
657	1826	949
658	1837	950
659	1840	948
660	1842	944
661	1844	941
662	1845	938
663	1847	934
664	1857	935
665	1858	932
666	1860	928
667	1862	925
668	1863	922
669	1871	921
670	1873	918
671	1905	929
672	1906	926
673	1908	923
674	1910	919
675	1912	916
676	1916	914
677	1919	911
678	1920	908
679	1922	904
680	1924	901
681	1930	899
682	1935	898
683	1945	898
684	1949	896
685	1951	893
686	1952	889
687	1968	892
688	1981	894
689	1983	891
690	1985	888
691	1988	885
692	1991	882
693	2003	883
694	2009	881
695	2016	880
696	2020	878
697	2025	876
698	2030	874
699	2031	870
700	2036	868
701	2040	866
702	2045	864
703	2047	860
704	2049	857
705	2051	854
706	2060	853
707	2061	850
708	2063	846
709	2066	843
710	2073	842
711	2077	840
